#round, winner, #Black, #White
1,White,9,10
2,White,7,9
3,White,8,9
4,White,8,6
5,White,14,11
6,Black,5,5
7,White,7,12
8,White,7,7
9,White,5,10
10,White,10,11
11,White,5,6
12,White,8,10
13,White,4,6
14,Black,4,4
15,Black,6,3
16,White,11,8
17,White,11,9
18,Black,3,5
19,White,11,12
20,White,8,7
#round, winner, #Black, #White
1,White,10,7
2,White,14,12
3,Black,5,5
4,Black,6,5
5,White,6,5
6,Black,4,7
7,White,14,12
8,Black,5,4
9,White,13,13
10,Black,4,6
11,White,8,10
12,White,6,8
13,White,10,10
14,White,3,8
15,White,9,13
16,White,9,10
17,White,18,14
18,White,18,16
19,Black,6,7
20,White,5,6
